product,piece,kg,l,ml,price_gel,kcal,fats,carbs,protein,kcal_per_package,fats_per_package,carbs_per_package,protein_per_package
"ძეხვი შებოლილი ""პრემიო"" სერველატი ექსტრა",0,0.45,0,0,7.65,317,29,0.32,11.7,1426.5,130.5,1.44,52.65
"ძეხვი შებოლილი ""ლიდერ ფუდი"" სალიამი",0,0.3,0,0,8.95,373,34.7,1,15.17,1119,104.1,3,45.51
"ძეხვი შებოლილი ""პრემიო"" მონადირული",0,0.15,0,0,2.8,270,24,2,11.5,405,36,3,17.25
"ძეხვი შებოლილი ""ლიდერ ფუდი"" სერველატი ფინური",0,0.48,0,0,9.95,373,34.7,1,15.17,1790.4,166.56,4.8,72.816
"ძეხვი შებოლილი ""პრემიო"" სერველატი ექსტრა",0,0.27,0,0,5.1,317,29,0.32,11.7,855.9,78.3,0.864,31.59
"ძეხვი შებოლილი ""პრემიო"" მონადირული",0,0.4,0,0,5.49,270,24,2,11.5,1080,96,8,46
"ძეხვი შებოლილი ""ლიდერ ფუდი"" სერველატი ვენური 480გრ",0,0.48,0,0,9.95,319.1,28.1,1.29,15.46,1531.68,134.88,6.192,74.208
"ძეხვი შებოლილი ""ლიდერ ფუდი"" სერველატი ფინური",0,0.3,0,0,6.45,362.4,33.87,3.1,2.7,1087.2,101.61,9.3,8.1
"ძეხვი შებოლილი ""ლიდერ ფუდი"" მონადირული ლუდისთვის",0,0.4,0,0,7.95,344.7,30.71,4.35,12.73,1378.8,122.84,17.4,50.92
"ძეხვი შებოლილი ""ლიდერ ფუდი"" მონადირული ლუდისთვის",0,0.21,0,0,5.95,344.7,30.71,4.35,12.73,723.87,64.491,9.135,26.733
"ძეხვი შებოლილი ""პრემიო"" სერველატი ექსტრა",0,0.75,0,0,11.6,317,29,0.32,11.7,2377.5,217.5,2.4,87.75
"ძეხვი შებოლილი ""ლიდერ ფუდი"" კრაკოვური",0,0.31,0,0,6.55,379.7,35.78,3.4,11.23,1177.07,110.918,10.54,34.813
"ძეხვი შებოლილი ""შირნჰოფერი"" ვენური",0,0.15,0,0,9.45,276,23,0.5,16,414,34.5,0.75,24
სოსისი „საოჯახო“ რძიანი,0,0.5,0,0,4.35,178.1,14.43,2.14,9.92,890.5,72.15,10.7,49.6
"სოსისი ""პრემიო"" გერმანული",0,0.5,0,0,5.2,206,17,2,11.5,1030,85,10,57.5
"სოსისი ""პრემიო"" რძიანი",0,0.5,0,0,4.9,230,20,2,10,1150,100,10,50
"სოსისი ""პრემიო"" კანადური",0,0.5,0,0,4.65,181,14,3,10.5,905,70,15,52.5
"სოსისი ""ლიდერ ფუდი"" გაუდას ყველით",0,0.5,0,0,9.85,211,17.8,4.2,8.5,1055,89,21,42.5
"სოსისი ""ლიდერ ფუდი"" ბავარიული",0,0.5,0,0,8.95,273,24.6,4.05,8.86,1365,123,20.25,44.3
"სოსისი ""ლიდერ ფუდი"" სასკოლო",0,0.5,0,0,8.95,226,18.42,4.21,10.87,1130,92.1,21.05,54.35
"ძეხვი ნედლად შებოლილი ""ალანი"" სერველატი დაჭრილი",0,0.08,0,0,6.95,512,45,0.5,20.1,409.6,36,0.4,16.08
"ძეხვი ნედლად შებოლილი ""ალანი"" საქონლის დაჭრილი",0,0.08,0,0,6.95,315,25,1.5,21,252,20,1.2,16.8
"ძეხვი ნედლად შებოლილი ""ჩერქიზოვი"" ონეჟსკაია",0,0.3,0,0,13.95,450,38,5,22,1350,114,15,66
"ძეხვი ნედლად შებოლილი ""ალანი"" სერველატი",0,0.36,0,0,24.95,512,45,0.5,20.1,1843.2,162,1.8,72.36
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" პიკოლინო",0,0.1,0,0,9.95,492,48,2,13,492,48,2,13
"ძეხვი ნედლად შებოლილი ""ალანი"" ზერნისტი",0,0.37,0,0,24.95,469,33.1,0.5,20.3,1735.3,122.47,1.85,75.11
"ძეხვი ნედლად შებოლილი ""ჩერქიზოვი"" სალიამი ასტორია",0,0.225,0,0,13.95,390,30,5,25,877.5,67.5,11.25,56.25
"სოსისი ""პრემიო"" ივერია",0,0.5,0,0,6.95,263.6,22.26,4.04,11.8,1318,111.3,20.2,59
"სოსისი ""ლიდერ ფუდი"" ივერია საქონლის",0,0.5,0,0,9.95,261.5,24.81,4.45,9,1307.5,124.05,22.25,45
"სოსისი ""ლიდერ ფუდი"" ივერია",0,0.5,0,0,9.4,261.5,24.81,4.45,9,1307.5,124.05,22.25,45
"ძეხვი მოხარშული ""შირნჰოფერი"" საექიმო",0,0.4,0,0,9.55,237,20,2.8,12,948,80,11.2,48
"ძეხვი მოხარშული ""პრემიო"" გერმანული",0,0.8,0,0,9.45,172.2,12.63,5.75,8.87,1377.6,101.04,46,70.96
"ძეხვი მოხარშული ""ლიდერ ფუდი"" საექიმო",0,0.4,0,0,5.35,218.8,13.39,3.57,10.46,875.2,53.56,14.28,41.84
"ძეხვი მოხარშული ""პრემიო"" საექიმო",0,0.4,0,0,4.65,169.5,12.52,5.82,8.39,678,50.08,23.28,33.56
"ძეხვი მოხარშული ""ლიდერ ფუდი"" მოყვარულთა",0,0.4,0,0,5.35,264.4,23.68,3.18,9.46,1057.6,94.72,12.72,37.84
"ძეხვი მოხარშული ""ლიდერ ფუდი"" საექიმო",0,0.9,0,0,11.95,218.8,13.39,3.57,10.46,1969.2,120.51,32.13,94.14
